target,id,question,question_concept,input,input_choices
B,a651ffa44ac5febf0aede6748899b981,"{'question_concept': 'committing perjury', 'choices': [{'label': 'A', 'text': 'indictment'}, {'label': 'B', 'text': 'crime'}, {'label': 'C', 'text': 'violence'}, {'label': 'D', 'text': 'lie'}, {'label': 'E', 'text': 'go to jail'}], 'stem': 'Committing perjury is a serious what?'}",committing perjury,Committing perjury is a serious what?,"A: indictment, B: crime, C: violence, D: lie, E: go to jail"
B,bdcfbe2132295d437e4c5701085f19c0,"{'question_concept': 'postpone', 'choices': [{'label': 'A', 'text': 'eat'}, {'label': 'B', 'text': 'hasten'}, {'label': 'C', 'text': 'antedate'}, {'label': 'D', 'text': 'bring forward'}, {'label': 'E', 'text': 'advance'}], 'stem': 'If you are prone to postpone work what will you have to do in order to finish on time?'}",postpone,If you are prone to postpone work what will you have to do in order to finish on time?,"A: eat, B: hasten, C: antedate, D: bring forward, E: advance"
E,a80ee7775e934c423012fe98e20ba28b,"{'question_concept': 'rush', 'choices': [{'label': 'A', 'text': 'take time'}, {'label': 'B', 'text': 'dawdle'}, {'label': 'C', 'text': 'go slowly'}, {'label': 'D', 'text': 'ocean'}, {'label': 'E', 'text': 'slow down'}], 'stem': 'Sean was in a rush to get home, but the light turned yellow and he was forced to do what?'}",rush,"Sean was in a rush to get home, but the light turned yellow and he was forced to do what?","A: take time, B: dawdle, C: go slowly, D: ocean, E: slow down"
D,48a315cfa3ce11f7a9d615bc854331d5,"{'question_concept': 'wait turn', 'choices': [{'label': 'A', 'text': 'have patience'}, {'label': 'B', 'text': 'get in line'}, {'label': 'C', 'text': 'sing'}, {'label': 'D', 'text': 'stand in line'}, {'label': 'E', 'text': 'turn left'}], 'stem': 'Where would a person be doing when having to wait their turn?'}",wait turn,Where would a person be doing when having to wait their turn?,"A: have patience, B: get in line, C: sing, D: stand in line, E: turn left"
E,4acd496cc78d96c2431279a5fd87de7c,"{'question_concept': 'helping', 'choices': [{'label': 'A', 'text': 'satisfaction'}, {'label': 'B', 'text': 'heart'}, {'label': 'C', 'text': 'feel better'}, {'label': 'D', 'text': 'pay'}, {'label': 'E', 'text': 'happiness'}], 'stem': 'She was always helping at the senior center, it brought her what?'}",helping,"She was always helping at the senior center, it brought her what?","A: satisfaction, B: heart, C: feel better, D: pay, E: happiness"
C,91e0f4ab62c9d2fd440d73a3f5308d96,"{'question_concept': 'lock', 'choices': [{'label': 'A', 'text': 'keep cloesd'}, {'label': 'B', 'text': 'train'}, {'label': 'C', 'text': 'ignition switch'}, {'label': 'D', 'text': 'drawer'}, {'label': 'E', 'text': 'firearm'}], 'stem': 'The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?'}",lock,"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?","A: keep cloesd, B: train, C: ignition switch, D: drawer, E: firearm"
A,dc55d473c22b04877b11d584f9548194,"{'question_concept': 'water', 'choices': [{'label': 'A', 'text': 'whirlpool bath'}, {'label': 'B', 'text': 'coffee cup'}, {'label': 'C', 'text': 'cup'}, {'label': 'D', 'text': 'soft drink'}, {'label': 'E', 'text': 'puddle'}], 'stem': 'A human wants to submerge himself in water, what should he use?'}",water,"A human wants to submerge himself in water, what should he use?","A: whirlpool bath, B: coffee cup, C: cup, D: soft drink, E: puddle"
B,750ebdf36a0b3b407be0fe2163e3700b,"{'question_concept': 'money', 'choices': [{'label': 'A', 'text': 'control people'}, {'label': 'B', 'text': 'pay bills'}, {'label': 'C', 'text': 'hurt people'}, {'label': 'D', 'text': 'buy food'}, {'label': 'E', 'text': 'get things'}], 'stem': ""August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?""}",money,August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?,"A: control people, B: pay bills, C: hurt people, D: buy food, E: get things"
D,6e433471d0e2590b8c73ceef275022b1,"{'question_concept': 'buying beer', 'choices': [{'label': 'A', 'text': 'lose money'}, {'label': 'B', 'text': 'fun'}, {'label': 'C', 'text': 'have no money'}, {'label': 'D', 'text': 'broken law'}, {'label': 'E', 'text': 'relaxation'}], 'stem': ""James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?""}",buying beer,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,"A: lose money, B: fun, C: have no money, D: broken law, E: relaxation"
E,1bc986f8aea88d6927d8a45367855a94,"{'question_concept': 'applying for job', 'choices': [{'label': 'A', 'text': 'anxiety and fear'}, {'label': 'B', 'text': 'increased workload'}, {'label': 'C', 'text': 'praise'}, {'label': 'D', 'text': 'less sleep'}, {'label': 'E', 'text': 'being employed'}], 'stem': 'What is the result of applying for  job?'}",applying for job,What is the result of applying for  job?,"A: anxiety and fear, B: increased workload, C: praise, D: less sleep, E: being employed"
A,8d1563697d751a364d688d6701ebdb39,"{'question_concept': 'shop', 'choices': [{'label': 'A', 'text': 'get money'}, {'label': 'B', 'text': 'have money'}, {'label': 'C', 'text': 'bring cash'}, {'label': 'D', 'text': 'go to market'}, {'label': 'E', 'text': 'bring cash'}], 'stem': 'What must someone do before they shop?'}",shop,What must someone do before they shop?,"A: get money, B: have money, C: bring cash, D: go to market, E: bring cash"
E,91f512273a2da7ae796919069b20d6cf,"{'question_concept': 'first violin', 'choices': [{'label': 'A', 'text': 'music store'}, {'label': 'B', 'text': 'obesity'}, {'label': 'C', 'text': 'symphony orchestra'}, {'label': 'D', 'text': 'ochestra'}, {'label': 'E', 'text': 'violin case'}], 'stem': 'Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?'}",first violin,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?","A: music store, B: obesity, C: symphony orchestra, D: ochestra, E: violin case"
B,435a728f45d32faa4b3c4553c966fd6b,"{'question_concept': 'getting drunk', 'choices': [{'label': 'A', 'text': 'a seizure'}, {'label': 'B', 'text': 'slurred speech'}, {'label': 'C', 'text': 'death'}, {'label': 'D', 'text': 'forgetfulness'}, {'label': 'E', 'text': 'pass out'}], 'stem': ""If I was getting drunk, and people couldn't understand me, what might I be having?""}",getting drunk,"If I was getting drunk, and people couldn't understand me, what might I be having?","A: a seizure, B: slurred speech, C: death, D: forgetfulness, E: pass out"
D,e953dee48c70159ad879143a319ec607,"{'question_concept': 'beginning work', 'choices': [{'label': 'A', 'text': 'time'}, {'label': 'B', 'text': 'accomplishing'}, {'label': 'C', 'text': 'working'}, {'label': 'D', 'text': 'momentum'}, {'label': 'E', 'text': 'tiredness'}], 'stem': 'When a person is beginning work, what are they building?'}",beginning work,"When a person is beginning work, what are they building?","A: time, B: accomplishing, C: working, D: momentum, E: tiredness"
C,9c784727afd7176b54764055df7a7927,"{'question_concept': 'child', 'choices': [{'label': 'A', 'text': 'fall down'}, {'label': 'B', 'text': 'breathe'}, {'label': 'C', 'text': 'play tag'}, {'label': 'D', 'text': 'be dismembered by a chainsaw'}, {'label': 'E', 'text': 'become adult'}], 'stem': 'A child wants to play, what would they likely want?'}",child,"A child wants to play, what would they likely want?","A: fall down, B: breathe, C: play tag, D: be dismembered by a chainsaw, E: become adult"
D,b47d912136e3304cb5e5890b6b879551,"{'question_concept': 'talking to', 'choices': [{'label': 'A', 'text': 'social life'}, {'label': 'B', 'text': 'friendship'}, {'label': 'C', 'text': 'eye contact'}, {'label': 'D', 'text': 'get tired of'}, {'label': 'E', 'text': 'learn lessons from'}], 'stem': 'Talking to the same person about the same thing over and over again is something someone can what?'}",talking to,Talking to the same person about the same thing over and over again is something someone can what?,"A: social life, B: friendship, C: eye contact, D: get tired of, E: learn lessons from"
A,74ad13a03634e79c85382f1b90969b74,"{'question_concept': 'curiosity', 'choices': [{'label': 'A', 'text': 'hear news'}, {'label': 'B', 'text': 'read book'}, {'label': 'C', 'text': 'see favorite show'}, {'label': 'D', 'text': 'comedy show'}, {'label': 'E', 'text': 'go somewhere'}], 'stem': ""What is likely to satisfy someone's curiosity?""}",curiosity,What is likely to satisfy someone's curiosity?,"A: hear news, B: read book, C: see favorite show, D: comedy show, E: go somewhere"
A,2d33cde5e3987adc8fa2bca0af4dd3dd,"{'question_concept': 'being hungry', 'choices': [{'label': 'A', 'text': 'eat in restaurant'}, {'label': 'B', 'text': 'make bread'}, {'label': 'C', 'text': 'have lunch'}, {'label': 'D', 'text': 'cook dinner'}, {'label': 'E', 'text': 'friends house'}], 'stem': 'Where is a human likely to go as a result of being hungry?'}",being hungry,Where is a human likely to go as a result of being hungry?,"A: eat in restaurant, B: make bread, C: have lunch, D: cook dinner, E: friends house"
D,cc46d936bf69d69a3863b0cb85d75c17,"{'question_concept': 'regret', 'choices': [{'label': 'A', 'text': 'fun'}, {'label': 'B', 'text': 'joy'}, {'label': 'C', 'text': 'satisfaction'}, {'label': 'D', 'text': 'confident'}, {'label': 'E', 'text': 'pride'}], 'stem': 'He was beginning to regret taking the fight when he saw how what his opponent was?'}",regret,He was beginning to regret taking the fight when he saw how what his opponent was?,"A: fun, B: joy, C: satisfaction, D: confident, E: pride"
E,f481dc35b0a97a20dc5cdfe1a59746e2,"{'question_concept': 'read book', 'choices': [{'label': 'A', 'text': 'have time'}, {'label': 'B', 'text': 'boring'}, {'label': 'C', 'text': 'learn new'}, {'label': 'D', 'text': 'enjoyable'}, {'label': 'E', 'text': 'bored'}], 'stem': 'If you have to read a book that is very dry and long you may become what?'}",read book,If you have to read a book that is very dry and long you may become what?,"A: have time, B: boring, C: learn new, D: enjoyable, E: bored"
D,821b32d39f57396979069b948030afe9,"{'question_concept': 'kids', 'choices': [{'label': 'A', 'text': 'learn things'}, {'label': 'B', 'text': 'play games'}, {'label': 'C', 'text': 'disneyland'}, {'label': 'D', 'text': 'play with toys'}, {'label': 'E', 'text': 'talking'}], 'stem': ""The kids didn't clean up after they had done what?""}",kids,The kids didn't clean up after they had done what?,"A: learn things, B: play games, C: disneyland, D: play with toys, E: talking"
B,7792b2c6518ecf9775efba6d41253312,"{'question_concept': 'awaking', 'choices': [{'label': 'A', 'text': 'irritability'}, {'label': 'B', 'text': 'depression'}, {'label': 'C', 'text': 'getting out of bed'}, {'label': 'D', 'text': 'happiness'}, {'label': 'E', 'text': 'discomfort'}], 'stem': 'If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?'}",awaking,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?","A: irritability, B: depression, C: getting out of bed, D: happiness, E: discomfort"
B,ea8664e77205224154f8519f922220e1,"{'question_concept': 'fate', 'choices': [{'label': 'A', 'text': 'free will'}, {'label': 'B', 'text': 'choice'}, {'label': 'C', 'text': 'will'}, {'label': 'D', 'text': 'alcohol'}, {'label': 'E', 'text': 'freedom'}], 'stem': 'John felt that his actions were fate.   Harry said that he could have always made a different what?'}",fate,John felt that his actions were fate.   Harry said that he could have always made a different what?,"A: free will, B: choice, C: will, D: alcohol, E: freedom"
C,a64d45cecde84fdcf5f0a79805a0c6fe,"{'question_concept': 'committing murder', 'choices': [{'label': 'A', 'text': 'go to jail'}, {'label': 'B', 'text': 'cry'}, {'label': 'C', 'text': 'find god'}, {'label': 'D', 'text': 'guilty conscience'}, {'label': 'E', 'text': 'problems'}], 'stem': 'What could committing murder prevent someone from doing?'}",committing murder,What could committing murder prevent someone from doing?,"A: go to jail, B: cry, C: find god, D: guilty conscience, E: problems"
E,9aff72f0c480c2b4edde45bd2e7e4870,"{'question_concept': 'farmers', 'choices': [{'label': 'A', 'text': 'raise cattle'}, {'label': 'B', 'text': 'grow corn'}, {'label': 'C', 'text': 'farm land'}, {'label': 'D', 'text': 'drive tractors'}, {'label': 'E', 'text': 'supply food'}], 'stem': 'What is the main purpose of farmers?'}",farmers,What is the main purpose of farmers?,"A: raise cattle, B: grow corn, C: farm land, D: drive tractors, E: supply food"
A,e3c6d147f8a727d314046e70e9579ba0,"{'question_concept': 'illness', 'choices': [{'label': 'A', 'text': 'sick person'}, {'label': 'B', 'text': 'hospital'}, {'label': 'C', 'text': 'elderly person'}, {'label': 'D', 'text': 'graveyard'}, {'label': 'E', 'text': ""doctor's office""}], 'stem': 'The man had a fear of illness, so he never visited friends who were a what?'}",illness,"The man had a fear of illness, so he never visited friends who were a what?","A: sick person, B: hospital, C: elderly person, D: graveyard, E: doctor's office"
B,0f4159e80f8dbf682819215bbf0f5b5a_1,"{'question_concept': 'remembering', 'choices': [{'label': 'A', 'text': 'knowledge'}, {'label': 'B', 'text': 'knowing'}, {'label': 'C', 'text': 'forgetful'}, {'label': 'D', 'text': 'pleasure'}, {'label': 'E', 'text': 'depression'}], 'stem': ""If you're remembering something, it's because of your what of it to begin with?""}",remembering,"If you're remembering something, it's because of your what of it to begin with?","A: knowledge, B: knowing, C: forgetful, D: pleasure, E: depression"
C,db0cfd52ca6b2bbfcf26d1a898fd929b,"{'question_concept': 'going to bed', 'choices': [{'label': 'A', 'text': 'rest'}, {'label': 'B', 'text': 'insomnia'}, {'label': 'C', 'text': 'making love'}, {'label': 'D', 'text': 'sleeping in'}, {'label': 'E', 'text': 'texting'}], 'stem': ""Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?""}",going to bed,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,"A: rest, B: insomnia, C: making love, D: sleeping in, E: texting"
C,400fb2e196e71abb70e5b3f9aab4b9ee,"{'question_concept': 'get drunk', 'choices': [{'label': 'A', 'text': 'health'}, {'label': 'B', 'text': 'fall down'}, {'label': 'C', 'text': 'stagger'}, {'label': 'D', 'text': 'get arrested'}, {'label': 'E', 'text': 'vomit'}], 'stem': 'The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?'}",get drunk,"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?","A: health, B: fall down, C: stagger, D: get arrested, E: vomit"
E,5169f7ae0781b15161551de3a189ebef,"{'question_concept': 'illustrate point', 'choices': [{'label': 'A', 'text': 'did not understand'}, {'label': 'B', 'text': 'accepting'}, {'label': 'C', 'text': 'make clear'}, {'label': 'D', 'text': 'understood'}, {'label': 'E', 'text': 'understanding'}], 'stem': 'What do you want someone to do when you illustrate point?'}",illustrate point,What do you want someone to do when you illustrate point?,"A: did not understand, B: accepting, C: make clear, D: understood, E: understanding"
B,ef22ef7aeec70aaa688720f805c1cf38,"{'question_concept': 'having fun', 'choices': [{'label': 'A', 'text': 'happiness'}, {'label': 'B', 'text': 'stress relief'}, {'label': 'C', 'text': 'pleasure'}, {'label': 'D', 'text': 'ocean'}, {'label': 'E', 'text': 'may laugh'}], 'stem': 'Billy set aside a block of time for having fun after work. Why might he do this?'}",having fun,Billy set aside a block of time for having fun after work. Why might he do this?,"A: happiness, B: stress relief, C: pleasure, D: ocean, E: may laugh"
D,514310637fb43a252bfadc8cbf79b277,"{'question_concept': 'lazy', 'choices': [{'label': 'A', 'text': 'restless'}, {'label': 'B', 'text': 'active'}, {'label': 'C', 'text': 'lazybutt'}, {'label': 'D', 'text': 'productive'}, {'label': 'E', 'text': 'hard work'}], 'stem': 'The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?'}",lazy,"The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?","A: restless, B: active, C: lazybutt, D: productive, E: hard work"
B,9370b2b0897b796dec4a40f107854c8d,"{'question_concept': 'greed', 'choices': [{'label': 'A', 'text': 'keep things'}, {'label': 'B', 'text': 'make friends'}, {'label': 'C', 'text': 'play poker'}, {'label': 'D', 'text': 'conquer opponent'}, {'label': 'E', 'text': 'lie'}], 'stem': 'What would you be unable to do if you have too much greed?'}",greed,What would you be unable to do if you have too much greed?,"A: keep things, B: make friends, C: play poker, D: conquer opponent, E: lie"
B,e1f90cd664a6b150291e6d8444d85c54,"{'question_concept': 'servant', 'choices': [{'label': 'A', 'text': 'freedom'}, {'label': 'B', 'text': 'rich person'}, {'label': 'C', 'text': 'hired help'}, {'label': 'D', 'text': 'in charge'}, {'label': 'E', 'text': 'busy'}], 'stem': 'I did not need a servant.  I was not a what?'}",servant,I did not need a servant.  I was not a what?,"A: freedom, B: rich person, C: hired help, D: in charge, E: busy"
D,964185aed0e381853332bca1a4d91f46,"{'question_concept': 'learning about world', 'choices': [{'label': 'A', 'text': 'newness'}, {'label': 'B', 'text': 'loss of innocence'}, {'label': 'C', 'text': 'enlightenment'}, {'label': 'D', 'text': 'open mind'}, {'label': 'E', 'text': 'smartness'}], 'stem': 'When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions'}",learning about world,"When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions","A: newness, B: loss of innocence, C: enlightenment, D: open mind, E: smartness"
E,db8e010754c532d78635e5b7cf81a147,"{'question_concept': 'computers', 'choices': [{'label': 'A', 'text': 'share files'}, {'label': 'B', 'text': 'do arithmetic'}, {'label': 'C', 'text': 'turn on'}, {'label': 'D', 'text': 'cost money'}, {'label': 'E', 'text': 'multitask'}], 'stem': 'An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?'}",computers,"An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?","A: share files, B: do arithmetic, C: turn on, D: cost money, E: multitask"
D,998381f854f51da2a6ccde45909e5168,"{'question_concept': 'obstructing justice', 'choices': [{'label': 'A', 'text': 'committing perjury'}, {'label': 'B', 'text': 'prosecution'}, {'label': 'C', 'text': 'attack'}, {'label': 'D', 'text': 'getting hurt'}, {'label': 'E', 'text': 'riot'}], 'stem': 'Obstructing justice is sometimes an excuse used for police brutality which causes what in people?'}",obstructing justice,Obstructing justice is sometimes an excuse used for police brutality which causes what in people?,"A: committing perjury, B: prosecution, C: attack, D: getting hurt, E: riot"
D,bc38ad28e99cff7a65771233f734a007,"{'question_concept': 'washing clothes', 'choices': [{'label': 'A', 'text': 'damaged'}, {'label': 'B', 'text': 'wet clothes'}, {'label': 'C', 'text': 'wear out'}, {'label': 'D', 'text': 'torn'}, {'label': 'E', 'text': 'have fun'}], 'stem': 'While washing clothes they became what when caught on the sharp object?'}",washing clothes,While washing clothes they became what when caught on the sharp object?,"A: damaged, B: wet clothes, C: wear out, D: torn, E: have fun"
E,5ac83e9e6fa9851ad3cccb0d57c1d88f,"{'question_concept': 'playing tennis', 'choices': [{'label': 'A', 'text': 'becoming tired'}, {'label': 'B', 'text': 'tennis elbow'}, {'label': 'C', 'text': 'exercise'}, {'label': 'D', 'text': 'hunger'}, {'label': 'E', 'text': 'victory'}], 'stem': 'What would encourage someone to continue playing tennis?'}",playing tennis,What would encourage someone to continue playing tennis?,"A: becoming tired, B: tennis elbow, C: exercise, D: hunger, E: victory"
C,2c0030cc14a27be2401dcfdaa501f0fc,"{'question_concept': 'relaxing', 'choices': [{'label': 'A', 'text': 'deep breathing'}, {'label': 'B', 'text': 'worried'}, {'label': 'C', 'text': 'fall asleep'}, {'label': 'D', 'text': 'invigorating'}, {'label': 'E', 'text': 'feeling good'}], 'stem': 'James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?'}",relaxing,James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?,"A: deep breathing, B: worried, C: fall asleep, D: invigorating, E: feeling good"
B,ae038e9af9d5a511ada7456b5e73b15e,"{'question_concept': 'balalaika', 'choices': [{'label': 'A', 'text': 'movie dr'}, {'label': 'B', 'text': 'orchestra'}, {'label': 'C', 'text': 'music store'}, {'label': 'D', 'text': 'cat'}, {'label': 'E', 'text': 'symphony'}], 'stem': 'What could be playing a balailaika?'}",balalaika,What could be playing a balailaika?,"A: movie dr, B: orchestra, C: music store, D: cat, E: symphony"
E,a400b9fd1e319f901471c4b42d401c52,"{'question_concept': 'sailor', 'choices': [{'label': 'A', 'text': 'coming home'}, {'label': 'B', 'text': 'row boat'}, {'label': 'C', 'text': 'board ship'}, {'label': 'D', 'text': 'inflatable raft'}, {'label': 'E', 'text': 'sail boat'}], 'stem': 'Sailors drive many different types of boats, what type of boat involves their namesake.'}",sailor,"Sailors drive many different types of boats, what type of boat involves their namesake.","A: coming home, B: row boat, C: board ship, D: inflatable raft, E: sail boat"
E,3730c646fdf54472ab873aac9ff7852e,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'have choice'}, {'label': 'B', 'text': 'mentally challenged'}, {'label': 'C', 'text': 'own house'}, {'label': 'D', 'text': 'obesity'}, {'label': 'E', 'text': 'lots of space'}], 'stem': 'Why would a person like to have a large house?'}",person,Why would a person like to have a large house?,"A: have choice, B: mentally challenged, C: own house, D: obesity, E: lots of space"
B,11d7db1d8e1cff2f40d4184f15cf7ae7,"{'question_concept': 'idiots', 'choices': [{'label': 'A', 'text': 'internet cafe'}, {'label': 'B', 'text': 'sporting event'}, {'label': 'C', 'text': 'pressing wrong buttons'}, {'label': 'D', 'text': 'obesity'}, {'label': 'E', 'text': 'hockey game'}], 'stem': 'John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?'}",idiots,John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?,"A: internet cafe, B: sporting event, C: pressing wrong buttons, D: obesity, E: hockey game"
