iIndex,lAlignments,lEquations,lSolutions,sQuestion
160,"[11, 86, 56]",['X=((45.0+46.0)-20.0)'],[71.0]," Roger had 45 dollars in January. By March he had spent 20 dollars. If he got another 46 dollars from his mom, how much money would he have? "
165,"[9, 75, 29]",['X=((5.0+38.0)-4.0)'],[39.0]," Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? "
174,"[10, 78, 31]",['X=((48.0+38.0)-19.0)'],[67.0]," Adam had 48 books. If he sold 19 of them and used the money he earned to buy 38 new books, how many books would Adam have? "
178,"[11, 81, 46]",['X=((11.0+14.0)-3.0)'],[22.0]," Frank had 11 dollars. At the store he spent $3 on a new game. If he got another 14 dollars for his allowance, how much money does he have now? "
180,"[10, 85, 55]",['X=((48.0+21.0)-11.0)'],[58.0]," Luke had 48 dollars in January. By March he had spent 11 dollars. If he got another 21 dollars from his mom, how much money would he have? "
187,"[24, 84, 48]",['X=((11.0+10.0)-5.0)'],[16.0]," At the arcade Dave won 11 tickets. If he spent 5 tickets on a beanie and later won 10 more tickets, how many would he have? "
192,"[26, 85, 49]",['X=((9.0+4.0)-4.0)'],[9.0]," At the arcade Edward won 9 tickets. If he spent 4 tickets on a beanie and later won 4 more tickets, how many would he have? "
195,"[11, 79, 32]",['X=((25.0+30.0)-21.0)'],[34.0]," Roger had 25 books. If he sold 21 of them and used the money he earned to buy 30 new books, how many books would Roger have? "
198,"[10, 79, 44]",['X=((5.0+26.0)-2.0)'],[29.0]," John had 5 dollars. At the store he spent $2 on a new game. If he got another 26 dollars for his allowance, how much money does he have now? "
200,"[105, 50, 78]",['X=(5.0*(7.0+3.0))'],[50.0]," At the town carnival Billy rode the ferris wheel 7 times and the bumper cars 3 times. If each ride cost 5 tickets, how many tickets did he use? "
203,"[66, 93, 105]",['X=(3.0*(2.0+2.0))'],[12.0]," April's discount flowers was having a sale where each flower was 3 dollars. If Emily bought 2 roses and 2 daisies, how much did she spend? "
216,"[64, 93, 135]",['X=(4.0*(3.0+5.0))'],[32.0], Haley's favorite band was holding a concert where tickets were 4 dollars each. Haley bought 3 tickets for herself and her friends and 5 extra tickets in case anyone else wanted to go. How much did she spend? 
217,"[113, 54, 78]",['X=(3.0*(5.0+5.0))'],[30.0]," Luke was putting his spare change into piles. He had 5 piles of quarters and 5 piles of dimes. If each pile had 3 coins in it, how many coins did he have total? "
218,"[71, 128, 158]",['X=(8.0*(6.0+2.0))'],[64.0], Victor and his friend were buying trick decks from the magic shop for 8 dollars each. How much did they spend if Victor bought 6 decks and his friend bought 2 decks? 
224,"[66, 91, 103]",['X=(3.0*(8.0+2.0))'],[30.0]," April's discount flowers was having a sale where each flower was 3 dollars. If Zoe bought 8 roses and 2 daisies, how much did she spend? "
227,"[65, 104, 137]",['X=(5.0*(7.0+2.0))'],[45.0], George was working as a sacker at a grocery store where he made 5 dollars an hour. On Monday he worked 7 hours and on Tuesday he worked 2 hours. How much money did George make in those two days? 
229,"[71, 128, 158]",['X=(9.0*(4.0+4.0))'],[72.0], Edward and his friend were buying trick decks from the magic shop for 9 dollars each. How much did they spend if Edward bought 4 decks and his friend bought 4 decks? 
230,"[68, 122, 152]",['X=(8.0*(3.0+5.0))'],[64.0], Tom and his friend were buying trick decks from the magic shop for 8 dollars each. How much did they spend if Tom bought 3 decks and his friend bought 5 decks? 
232,"[65, 104, 137]",['X=(6.0*(5.0+5.0))'],[60.0], Victor was working as a sacker at a grocery store where he made 6 dollars an hour. On Monday he worked 5 hours and on Tuesday he worked 5 hours. How much money did Victor make in those two days? 
237,"[125, 59, 80]",['X=(7.0*(3.0+7.0))'],[70.0]," Faye was selling her necklaces at a garage sale. She sold 3 bead necklaces and 7 gem stone necklaces. If each necklace cost 7 dollars, how much money did she earn? "
238,"[106, 51, 79]",['X=(7.0*(5.0+4.0))'],[63.0]," At the town carnival Oliver rode the ferris wheel 5 times and the bumper cars 4 times. If each ride cost 7 tickets, how many tickets did he use? "
240,"[126, 60, 81]",['X=(3.0*(4.0+3.0))'],[21.0]," Katie was selling her necklaces at a garage sale. She sold 4 bead necklaces and 3 gem stone necklaces. If each necklace cost 3 dollars, how much money did she earn? "
241,"[65, 104, 137]",['X=(6.0*(3.0+5.0))'],[48.0], Edward was working as a sacker at a grocery store where he made 6 dollars an hour. On Monday he worked 3 hours and on Tuesday he worked 5 hours. How much money did Edward make in those two days? 
249,"[66, 93, 105]",['X=(3.0*(5.0+4.0))'],[27.0]," April's discount flowers was having a sale where each flower was 3 dollars. If Robin bought 5 roses and 4 daisies, how much did she spend? "
254,"[63, 91, 133]",['X=(6.0*(8.0+2.0))'],[60.0], Lana's favorite band was holding a concert where tickets were 6 dollars each. Lana bought 8 tickets for herself and her friends and 2 extra tickets in case anyone else wanted to go. How much did she spend? 
258,"[126, 60, 81]",['X=(9.0*(7.0+3.0))'],[90.0]," Megan was selling her necklaces at a garage sale. She sold 7 bead necklaces and 3 gem stone necklaces. If each necklace cost 9 dollars, how much money did she earn? "
260,"[66, 93, 105]",['X=(6.0*(5.0+5.0))'],[60.0]," April's discount flowers was having a sale where each flower was 6 dollars. If Katie bought 5 roses and 5 daisies, how much did she spend? "
262,"[114, 55, 79]",['X=(7.0*(3.0+3.0))'],[42.0]," Roger was putting his spare change into piles. He had 3 piles of quarters and 3 piles of dimes. If each pile had 7 coins in it, how many coins did he have total? "
268,"[127, 61, 82]",['X=(6.0*(3.0+3.0))'],[36.0]," Isabel was selling her necklaces at a garage sale. She sold 3 bead necklaces and 3 gem stone necklaces. If each necklace cost 6 dollars, how much money did she earn? "
270,"[66, 95, 107]",['X=(8.0*(3.0+3.0))'],[48.0]," April's discount flowers was having a sale where each flower was 8 dollars. If Vanessa bought 3 roses and 3 daisies, how much did she spend? "
271,"[63, 102, 135]",['X=(8.0*(8.0+2.0))'],[80.0], Will was working as a sacker at a grocery store where he made 8 dollars an hour. On Monday he worked 8 hours and on Tuesday he worked 2 hours. How much money did Will make in those two days? 
277,"[114, 55, 79]",['X=(4.0*(2.0+3.0))'],[20.0]," Billy was putting his spare change into piles. He had 2 piles of quarters and 3 piles of dimes. If each pile had 4 coins in it, how many coins did he have total? "
281,"[70, 126, 156]",['X=(7.0*(3.0+2.0))'],[35.0], Frank and his friend were buying trick decks from the magic shop for 7 dollars each. How much did they spend if Frank bought 3 decks and his friend bought 2 decks? 
285,"[66, 93, 105]",['X=(6.0*(7.0+3.0))'],[60.0]," April's discount flowers was having a sale where each flower was 6 dollars. If Maria bought 7 roses and 3 daisies, how much did she spend? "
286,"[63, 102, 135]",['X=(6.0*(6.0+2.0))'],[48.0], Dave was working as a sacker at a grocery store where he made 6 dollars an hour. On Monday he worked 6 hours and on Tuesday he worked 2 hours. How much money did Dave make in those two days? 
289,"[112, 53, 77]",['X=(5.0*(2.0+4.0))'],[30.0]," Tom was putting his spare change into piles. He had 2 piles of quarters and 4 piles of dimes. If each pile had 5 coins in it, how many coins did he have total? "
292,"[106, 51, 79]",['X=(3.0*(7.0+3.0))'],[30.0]," At the town carnival Oliver rode the ferris wheel 7 times and the bumper cars 3 times. If each ride cost 3 tickets, how many tickets did he use? "
295,"[158, 71, 128]",['X=(6.0*(6.0+3.0))'],[54.0], Edward and his friend were buying trick decks from the magic shop for 6 dollars each. How much did they spend if Edward bought 3 decks and his friend bought 6 decks? 
302,"[20, 55, 94]",['X=((21.0+15.0)/6.0)'],[6.0]," Kaleb had saved up 21 dollars. If he received another 15 dollars for his allowance, how many 6 dollar toys could he buy? "
304,"[11, 38, 79]",['X=((9.0+18.0)/3.0)'],[9.0]," Luke made 9 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? "
316,"[11, 38, 79]",['X=((6.0+18.0)/3.0)'],[8.0]," John made 6 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? "
320,"[40, 78, 149]",['X=((33.0+9.0)/6.0)'],[7.0]," While playing at the arcade, Frank won 33 tickets playing 'whack a mole' and 9 tickets playing 'skee ball'. If he was trying to buy candy that cost 6 tickets a piece, how many could he buy? "
321,"[11, 39, 80]",['X=((14.0+26.0)/5.0)'],[8.0]," Mike made 14 dollars mowing lawns and 26 dollars weed eating. If he only spent 5 dollar a week, how long would the money last him? "
337,"[11, 39, 80]",['X=((68.0+13.0)/9.0)'],[9.0]," Paul made 68 dollars mowing lawns and 13 dollars weed eating. If he only spent 9 dollar a week, how long would the money last him? "
338,"[41, 78, 149]",['X=((3.0+5.0)/4.0)'],[2.0]," While playing at the arcade, Edward won 3 tickets playing 'whack a mole' and 5 tickets playing 'skee ball'. If he was trying to buy candy that cost 4 tickets a piece, how many could he buy? "
349,"[20, 54, 93]",['X=((3.0+37.0)/8.0)'],[5.0]," Frank had saved up 3 dollars. If he received another 37 dollars for his allowance, how many 8 dollar toys could he buy? "
359,"[20, 54, 93]",['X=((3.0+37.0)/8.0)'],[5.0]," Frank had saved up 3 dollars. If he received another 37 dollars for his allowance, how many 8 dollar toys could he buy? "
362,"[18, 52, 90]",['X=((8.0+7.0)/3.0)'],[5.0]," Sam had saved up 8 dollars. If he received another 7 dollars for his allowance, how many 3 dollar toys could he buy? "
366,"[11, 38, 78]",['X=((3.0+3.0)/3.0)'],[2.0]," Paul made 3 dollars mowing lawns and 3 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? "
378,"[39, 76, 148]",['X=((2.0+13.0)/3.0)'],[5.0]," While playing at the arcade, Luke won 2 tickets playing 'whack a mole' and 13 tickets playing 'skee ball'. If he was trying to buy candy that cost 3 tickets a piece, how many could he buy? "
381,"[19, 53, 91]",['X=((3.0+7.0)/5.0)'],[2.0]," Paul had saved up 3 dollars. If he received another 7 dollars for his allowance, how many 5 dollar toys could he buy? "
382,"[12, 40, 81]",['X=((14.0+31.0)/5.0)'],[9.0]," Jerry made 14 dollars mowing lawns and 31 dollars weed eating. If he only spent 5 dollar a week, how long would the money last him? "
383,"[38, 76, 148]",['X=((26.0+19.0)/9.0)'],[5.0]," While playing at the arcade, Ned won 26 tickets playing 'whack a mole' and 19 tickets playing 'skee ball'. If he was trying to buy candy that cost 9 tickets a piece, how many could he buy? "
395,"[19, 53, 92]",['X=((4.0+11.0)/5.0)'],[3.0]," Paul had saved up 4 dollars. If he received another 11 dollars for his allowance, how many 5 dollar toys could he buy? "
399,"[12, 39, 80]",['X=((5.0+58.0)/7.0)'],[9.0]," Frank made 5 dollars mowing lawns and 58 dollars weed eating. If he only spent 7 dollar a week, how long would the money last him? "
404,"[14, 58, 93]",['X=(5.0*(12.0-7.0))'],[25.0]," Henry earned 5 dollars for each lawn he mowed. If he had 12 lawns to mow, but forgot to mow 7 of them, how much money did he actually earn? "
409,"[35, 51, 88]",['X=(3.0*(7.0-4.0))'],[9.0]," Each chocolate bar in a box cost $3. If a box had 7 bars total and Olivia sold all but 4 bars, how much money would she have made? "
412,"[95, 40, 11]",['X=(8.0*(16.0-7.0))'],[72.0]," Jerry had 7 action figures, but needed 16 total for a complete collection. If each one costs $8, how much money would he need to finish his collection? "
416,"[13, 57, 92]",['X=(9.0*(12.0-8.0))'],[36.0]," Adam earned 9 dollars for each lawn he mowed. If he had 12 lawns to mow, but forgot to mow 8 of them, how much money did he actually earn? "
418,"[100, 10, 29]",['X=(7.0*(16.0-8.0))'],[56.0]," Mike had 16 video games but 8 of them weren't working. If he wanted to sell the working games for $7 each, how much money could he earn? "
422,"[99, 9, 28]",['X=(7.0*(15.0-6.0))'],[63.0]," Ned had 15 video games but 6 of them weren't working. If he wanted to sell the working games for $7 each, how much money could he earn? "
423,"[35, 51, 86]",['X=(6.0*(13.0-6.0))'],[42.0]," Each chocolate bar in a box cost $6. If a box had 13 bars total and Zoe sold all but 6 bars, how much money would she have made? "
427,"[14, 58, 93]",['X=(9.0*(14.0-8.0))'],[54.0]," Roger earned 9 dollars for each lawn he mowed. If he had 14 lawns to mow, but forgot to mow 8 of them, how much money did he actually earn? "
428,"[45, 80, 121]",['X=(2.0*(5.0-3.0))'],[4.0]," A magician was selling magic card decks for 2 dollars each. If he started with 5 decks and by the end of the day he had 3 left, how much money did he earn? "
431,"[110, 25, 74]",['X=(9.0*(13.0-4.0))'],[81.0]," At the fair Adam bought 13 tickets. After riding the ferris wheel he had 4 tickets left. If each ticket cost 9 dollars, how much money did Adam spend riding the ferris wheel? "
433,"[10, 39, 93]",['X=(5.0*(7.0-5.0))'],[10.0]," John had 5 action figures, but needed 7 total for a complete collection. If each one costs $5, how much money would he need to finish his collection? "
435,"[35, 51, 87]",['X=(4.0*(8.0-3.0))'],[20.0]," Each chocolate bar in a box cost $4. If a box had 8 bars total and Emily sold all but 3 bars, how much money would she have made? "
436,"[81, 23, 40]",['X=(3.0*(10.0-5.0))'],[15.0]," At lunch a waiter had 10 customers and 5 of them didn't leave a tip. If he got $3 each from the ones who did tip, how much money did he earn? "
439,"[45, 80, 122]",['X=(9.0*(12.0-7.0))'],[45.0]," A magician was selling magic card decks for 9 dollars each. If he started with 12 decks and by the end of the day he had 7 left, how much money did he earn? "
441,"[45, 80, 122]",['X=(5.0*(14.0-5.0))'],[45.0]," A magician was selling magic card decks for 5 dollars each. If he started with 14 decks and by the end of the day he had 5 left, how much money did he earn? "
442,"[35, 51, 87]",['X=(3.0*(9.0-3.0))'],[18.0]," Each chocolate bar in a box cost $3. If a box had 9 bars total and Wendy sold all but 3 bars, how much money would she have made? "
447,"[101, 11, 30]",['X=(6.0*(10.0-8.0))'],[12.0]," Kaleb had 10 video games but 8 of them weren't working. If he wanted to sell the working games for $6 each, how much money could he earn? "
448,"[64, 97, 113]",['X=(7.0*(9.0-4.0))'],[35.0]," April's discount flowers was having a sale where each rose was 7 dollars. If April started with 9 roses and had 4 roses left, how much money did she earn? "
449,"[80, 23, 39]",['X=(8.0*(9.0-5.0))'],[32.0]," At lunch a waiter had 9 customers and 5 of them didn't leave a tip. If he got $8 each from the ones who did tip, how much money did he earn? "
453,"[94, 40, 11]",['X=(6.0*(8.0-3.0))'],[30.0]," Henry had 3 action figures, but needed 8 total for a complete collection. If each one costs $6, how much money would he need to finish his collection? "
454,"[13, 57, 92]",['X=(8.0*(15.0-7.0))'],[64.0]," John earned 8 dollars for each lawn he mowed. If he had 15 lawns to mow, but forgot to mow 7 of them, how much money did he actually earn? "
458,"[100, 10, 29]",['X=(4.0*(10.0-2.0))'],[32.0]," Dave had 10 video games but 2 of them weren't working. If he wanted to sell the working games for $4 each, how much money could he earn? "
461,"[64, 97, 114]",['X=(4.0*(13.0-4.0))'],[36.0]," April's discount flowers was having a sale where each rose was 4 dollars. If April started with 13 roses and had 4 roses left, how much money did she earn? "
465,"[35, 51, 90]",['X=(4.0*(11.0-7.0))'],[16.0]," Each chocolate bar in a box cost $4. If a box had 11 bars total and Vanessa sold all but 7 bars, how much money would she have made? "
472,"[35, 51, 89]",['X=(2.0*(13.0-4.0))'],[18.0]," Each chocolate bar in a box cost $2. If a box had 13 bars total and Rachel sold all but 4 bars, how much money would she have made? "
475,"[80, 23, 39]",['X=(9.0*(7.0-4.0))'],[27.0]," At lunch a waiter had 7 customers and 4 of them didn't leave a tip. If he got $9 each from the ones who did tip, how much money did he earn? "
476,"[64, 97, 114]",['X=(9.0*(11.0-8.0))'],[27.0]," April's discount flowers was having a sale where each rose was 9 dollars. If April started with 11 roses and had 8 roses left, how much money did she earn? "
479,"[15, 59, 94]",['X=(4.0*(17.0-9.0))'],[32.0]," Edward earned 4 dollars for each lawn he mowed. If he had 17 lawns to mow, but forgot to mow 9 of them, how much money did he actually earn? "
482,"[10, 39, 94]",['X=(6.0*(11.0-6.0))'],[30.0]," John had 6 action figures, but needed 11 total for a complete collection. If each one costs $6, how much money would he need to finish his collection? "
484,"[110, 26, 74]",['X=(9.0*(6.0-3.0))'],[27.0]," At the fair Kaleb bought 6 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Kaleb spend riding the ferris wheel? "
487,"[45, 80, 122]",['X=(7.0*(16.0-8.0))'],[56.0]," A magician was selling magic card decks for 7 dollars each. If he started with 16 decks and by the end of the day he had 8 left, how much money did he earn? "
489,"[80, 23, 39]",['X=(3.0*(7.0-5.0))'],[6.0]," At lunch a waiter had 7 customers and 5 of them didn't leave a tip. If he got $3 each from the ones who did tip, how much money did he earn? "
490,"[110, 25, 74]",['X=(9.0*(10.0-3.0))'],[63.0]," At the fair Adam bought 10 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Adam spend riding the ferris wheel? "
493,"[100, 10, 29]",['X=(5.0*(15.0-9.0))'],[30.0]," Mike had 15 video games but 9 of them weren't working. If he wanted to sell the working games for $5 each, how much money could he earn? "
494,"[15, 59, 93]",['X=(9.0*(6.0-2.0))'],[36.0]," Edward earned 9 dollars for each lawn he mowed. If he had 6 lawns to mow, but forgot to mow 2 of them, how much money did he actually earn? "
500,"[10, 34, 67]",['X=((57.0-27.0)/6.0)'],[5.0]," Will had 57 dollars. If he spent 27 bucks on a new game, how many 6 dollar toys could he buy with the money he had left? "
503,"[15, 54, 149]",['X=((79.0-23.0)/7.0)'],[8.0]," Edward bought 79 tickets at the state fair. He spent 23 tickets at the 'dunk a clown' booth and decided to use the rest on rides. If each ride cost 7 tickets, how many rides could he go on? "
509,"[11, 65, 110]",['X=((101.0-47.0)/6.0)'],[9.0]," Mike made 101 dollars mowing lawns over the summer. If he spent 47 dollars buying new mower blades, how many 6 dollar games could he buy with the money he had left? "
513,"[13, 66, 111]",['X=((37.0-21.0)/2.0)'],[8.0]," Edward made 37 dollars mowing lawns over the summer. If he spent 21 dollars buying new mower blades, how many 2 dollar games could he buy with the money he had left? "
516,"[9, 33, 66]",['X=((57.0-49.0)/4.0)'],[2.0]," Tom had 57 dollars. If he spent 49 bucks on a new game, how many 4 dollar toys could he buy with the money he had left? "
523,"[55, 67, 109]",['X=((35.0-19.0)/8.0)'],[2.0], Edward was selling his old games. He started out with 35 but sold 19 of them. He packed the rest up putting 8 games into each box. How many boxes did he have to use? 
524,"[12, 65, 110]",['X=((19.0-11.0)/2.0)'],[4.0]," Frank made 19 dollars mowing lawns over the summer. If he spent 11 dollars buying new mower blades, how many 2 dollar games could he buy with the money he had left? "
537,"[54, 66, 108]",['X=((76.0-46.0)/5.0)'],[6.0], Kaleb was selling his old games. He started out with 76 but sold 46 of them. He packed the rest up putting 5 games into each box. How many boxes did he have to use? 
540,"[10, 34, 67]",['X=((83.0-47.0)/4.0)'],[9.0]," Will had 83 dollars. If he spent 47 bucks on a new game, how many 4 dollar toys could he buy with the money he had left? "
549,"[11, 64, 109]",['X=((42.0-10.0)/8.0)'],[4.0]," Mike made 42 dollars mowing lawns over the summer. If he spent 10 dollars buying new mower blades, how many 8 dollar games could he buy with the money he had left? "
551,"[13, 66, 110]",['X=((35.0-7.0)/4.0)'],[7.0]," Oliver made 35 dollars mowing lawns over the summer. If he spent 7 dollars buying new mower blades, how many 4 dollar games could he buy with the money he had left? "
572,"[53, 65, 107]",['X=((39.0-19.0)/4.0)'],[5.0], Luke was selling his old games. He started out with 39 but sold 19 of them. He packed the rest up putting 4 games into each box. How many boxes did he have to use? 
577,"[11, 35, 67]",['X=((12.0-8.0)/2.0)'],[2.0]," Kaleb had 12 dollars. If he spent 8 bucks on a new game, how many 2 dollar toys could he buy with the money he had left? "
589,"[11, 64, 109]",['X=((69.0-24.0)/5.0)'],[9.0]," Mike made 69 dollars mowing lawns over the summer. If he spent 24 dollars buying new mower blades, how many 5 dollar games could he buy with the money he had left? "
590,"[11, 65, 110]",['X=((104.0-41.0)/9.0)'],[7.0]," Will made 104 dollars mowing lawns over the summer. If he spent 41 dollars buying new mower blades, how many 9 dollar games could he buy with the money he had left? "
592,"[53, 65, 107]",['X=((57.0-39.0)/2.0)'],[9.0], Luke was selling his old games. He started out with 57 but sold 39 of them. He packed the rest up putting 2 games into each box. How many boxes did he have to use? 
595,"[11, 35, 68]",['X=((68.0-47.0)/7.0)'],[3.0]," Roger had 68 dollars. If he spent 47 bucks on a new game, how many 7 dollar toys could he buy with the money he had left? "
596,"[12, 51, 146]",['X=((40.0-28.0)/4.0)'],[3.0]," Tom bought 40 tickets at the state fair. He spent 28 tickets at the 'dunk a clown' booth and decided to use the rest on rides. If each ride cost 4 tickets, how many rides could he go on? "
4,"[13, 27, 78]",['X=((36.0+37.0)-70.0)'],[3.0]," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? "
7,"[31, 58, 97]",['X=((15.0+18.0)-31.0)'],[2.0]," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? "
8,"[43, 73, 116]",['X=((23.0+32.0)-44.0)'],[11.0], Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? 
12,"[31, 58, 97]",['X=((24.0+12.0)-14.0)'],[22.0]," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? "
13,"[14, 27, 77]",['X=((3.0+9.0)-10.0)'],[2.0]," Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? "
14,"[10, 31, 80]",['X=((46.0+9.0)-40.0)'],[15.0]," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? "
15,"[9, 27, 77]",['X=((4.0+21.0)-23.0)'],[2.0]," Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? "
21,"[40, 70, 113]",['X=((44.0+44.0)-20.0)'],[68.0], Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? 
24,"[30, 57, 96]",['X=((41.0+29.0)-15.0)'],[55.0]," While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? "
33,"[41, 71, 114]",['X=((10.0+39.0)-13.0)'],[36.0], Gwen bought two coloring books. One had 10 pictures and the other had 39. After one week she had already colored 13 of the pictures. How many pictures does she still have to color? 
41,"[9, 28, 78]",['X=((26.0+36.0)-48.0)'],[14.0]," Amy had 26 music files and 36 video files on her flash drive. If she deleted 48 of the files, how many files were still on her flash drive? "
44,"[11, 32, 82]",['X=((43.0+12.0)-44.0)'],[11.0]," Paige had 43 math problems and 12 science problems for homework. If she finished 44 of the problems at school, how many problems did she have to do for homework? "
