input,target
"Take the last letters of each words in ""Salvatore Gustavo Jill Celeste"" and concatenate them.",eole
"Take the last letters of each words in ""Paula Irina Laurel Maribel"" and concatenate them.",aall
"Take the last letters of each words in ""Andrés Miles Ronaldo Melinda"" and concatenate them.",ssoa
"Take the last letters of each words in ""Forrest Juanito Allan Candice"" and concatenate them.",tone
"Take the last letters of each words in ""Nico Lorenzo Johanna Teresita"" and concatenate them.",ooaa
"Take the last letters of each words in ""Paulo Tatyana Bernice Raúl"" and concatenate them.",oael
"Take the last letters of each words in ""Bobbi Tamika Zac Lala"" and concatenate them.",iaca
"Take the last letters of each words in ""Armando Astrid Anibal Dakota"" and concatenate them.",odla
"Take the last letters of each words in ""Lamont Frederick Lance Esperanza"" and concatenate them.",tkea
"Take the last letters of each words in ""Héctor Daniela Rossy Jose Manuel"" and concatenate them.",rayl
"Take the last letters of each words in ""Tiara Araceli Michaela Genaro"" and concatenate them.",aiao
"Take the last letters of each words in ""Alexa Pilar Rod Nicola"" and concatenate them.",arda
"Take the last letters of each words in ""Manuel Aurelio India Rosalba"" and concatenate them.",loaa
"Take the last letters of each words in ""Ivy Romeo Jana Ej"" and concatenate them.",yoaj
"Take the last letters of each words in ""Mari Ximena Leo Antonia"" and concatenate them.",iaoa
"Take the last letters of each words in ""Allyson Mara Jo Toni"" and concatenate them.",naoi
"Take the last letters of each words in ""Rocio Sandy Anahi Latasha"" and concatenate them.",oyia
"Take the last letters of each words in ""Ever Gio Elia Ramesh"" and concatenate them.",roah
"Take the last letters of each words in ""Sandeep Graciela Jai Xiomara"" and concatenate them.",paia
"Take the last letters of each words in ""Alonzo Dorothy Alfred Rodriguez"" and concatenate them.",oydz
"Take the last letters of each words in ""Ernest Yuri Camila Ashlee"" and concatenate them.",tiae
"Take the last letters of each words in ""Maricruz Alfredo Barry Deepak"" and concatenate them.",zoyk
"Take the last letters of each words in ""Pancho Claudio Elaine Vicky"" and concatenate them.",ooey
"Take the last letters of each words in ""Selene Felix Milton Yessica"" and concatenate them.",exna
"Take the last letters of each words in ""Karen Hector Mai Steven"" and concatenate them.",nrin
"Take the last letters of each words in ""Alexander Marina Valentina Mila"" and concatenate them.",raaa
"Take the last letters of each words in ""Evan Ray Sofia Alonso"" and concatenate them.",nyao
"Take the last letters of each words in ""Les Jun Noe Juliana"" and concatenate them.",snea
"Take the last letters of each words in ""Damian Crystal Nisha Hernan"" and concatenate them.",nlan
"Take the last letters of each words in ""Rosario Manoj Adolfo Reina"" and concatenate them.",ojoa
"Take the last letters of each words in ""Katia Mina Cam Ronda"" and concatenate them.",aama
"Take the last letters of each words in ""Lora Alberto Cathy Kara"" and concatenate them.",aoya
"Take the last letters of each words in ""Claudia Cole Matthew Juan Pablo"" and concatenate them.",aewo
"Take the last letters of each words in ""Arturo Dominick Christa Myles"" and concatenate them.",okas
"Take the last letters of each words in ""Rahul Praveen Isaiah Elsie"" and concatenate them.",lnhe
"Take the last letters of each words in ""Miranda Jacques Clarence Chandra"" and concatenate them.",asea
"Take the last letters of each words in ""Louise Mariano Laura Gerardo"" and concatenate them.",eoao
"Take the last letters of each words in ""Star Jude Rosemarie Raquel"" and concatenate them.",reel
"Take the last letters of each words in ""Lalo Yolanda Elida Ester"" and concatenate them.",oaar
"Take the last letters of each words in ""Cristobal Dania Li Anna"" and concatenate them.",laia
"Take the last letters of each words in ""Angeles Richard Luciana Darlene"" and concatenate them.",sdae
"Take the last letters of each words in ""Jodi Judi Nia Raj"" and concatenate them.",iiaj
"Take the last letters of each words in ""Johan Damien Serena Grace"" and concatenate them.",nnae
"Take the last letters of each words in ""Conrad Marcella Annette Esteban"" and concatenate them.",daen
"Take the last letters of each words in ""Isaac Reyes Carly Tania"" and concatenate them.",csya
"Take the last letters of each words in ""Wilma Margie Amber Sergio"" and concatenate them.",aero
"Take the last letters of each words in ""Leandro Maricela Genevieve Lesly"" and concatenate them.",oaey
"Take the last letters of each words in ""Felipe Heidi Nino Bradley"" and concatenate them.",eioy
"Take the last letters of each words in ""Dorian Mayra Freddie Magaly"" and concatenate them.",naey
"Take the last letters of each words in ""Chance Valentin Micah Clara"" and concatenate them.",enha
"Take the last letters of each words in ""Dusty Yanet Hortencia Lili"" and concatenate them.",ytai
"Take the last letters of each words in ""Ulises Derek Adrianna Eugene"" and concatenate them.",skae
"Take the last letters of each words in ""Carlitos Damaris Nikhil Jennie"" and concatenate them.",ssle
"Take the last letters of each words in ""Nicolas Aaliyah Pascual Rob"" and concatenate them.",shlb
"Take the last letters of each words in ""Pedro Leopoldo Tee Mar"" and concatenate them.",ooer
"Take the last letters of each words in ""Angelica Tariq Ursula Nena"" and concatenate them.",aqaa
"Take the last letters of each words in ""Luz Terence Elder Jazmin"" and concatenate them.",zern
"Take the last letters of each words in ""Adrian Marlon Karla Florence"" and concatenate them.",nnae
"Take the last letters of each words in ""Philip Antony Iris Alicia"" and concatenate them.",pysa
"Take the last letters of each words in ""Vinny Landon Miguel Caitlyn"" and concatenate them.",ynln
"Take the last letters of each words in ""Caroline Demetrius Fidel Solomon"" and concatenate them.",esln
"Take the last letters of each words in ""Tori Mariam Gaby Brayan"" and concatenate them.",imyn
"Take the last letters of each words in ""Maritza Nana Loretta Eric"" and concatenate them.",aaac
"Take the last letters of each words in ""Thomas Cara Nita Frances"" and concatenate them.",saas
"Take the last letters of each words in ""Guadalupe Ebony Wil Luke"" and concatenate them.",eyle
"Take the last letters of each words in ""Yazmin Lea Rodrigo Sammy"" and concatenate them.",naoy
"Take the last letters of each words in ""Juan Manuel Benjamin Rory Rafael"" and concatenate them.",lnyl
"Take the last letters of each words in ""Estrella Madison Paco Rj"" and concatenate them.",anoj
"Take the last letters of each words in ""Latoya Eliseo Trina Melisa"" and concatenate them.",aoaa
"Take the last letters of each words in ""Wesley Marcelo Rodolfo Erick"" and concatenate them.",yook
"Take the last letters of each words in ""Blanca Monika Ervin Lori"" and concatenate them.",aani
"Take the last letters of each words in ""Justin Neal Jt Lucia"" and concatenate them.",nlta
"Take the last letters of each words in ""Rohan Antoinette Nikki Aida"" and concatenate them.",neia
"Take the last letters of each words in ""Braulio Staci Jocelyn Brittany"" and concatenate them.",oiny
"Take the last letters of each words in ""Krishna Catalina Eileen Teddy"" and concatenate them.",aany
"Take the last letters of each words in ""Alain Jerome Kristina Ida"" and concatenate them.",neaa
"Take the last letters of each words in ""Trish Vero Victor Clemente"" and concatenate them.",hore
"Take the last letters of each words in ""Juliet Ricardo Tita Dianna"" and concatenate them.",toaa
"Take the last letters of each words in ""Donald Lia Gonzalo Lily"" and concatenate them.",daoy
"Take the last letters of each words in ""King Edith Traci Flor"" and concatenate them.",ghir
"Take the last letters of each words in ""Juana Chip Lila Jayme"" and concatenate them.",apae
"Take the last letters of each words in ""Beatrice Taylor Juan Carlos Kaitlin"" and concatenate them.",ersn
"Take the last letters of each words in ""Oswaldo José Luis Sheldon Tara"" and concatenate them.",osna
"Take the last letters of each words in ""Debora Jayson Donna Sai"" and concatenate them.",anai
"Take the last letters of each words in ""Martha Elijah Dominic Tonya"" and concatenate them.",ahca
"Take the last letters of each words in ""Theo Sheila Mariana Esmeralda"" and concatenate them.",oaaa
"Take the last letters of each words in ""Nichole Heriberto Darian Peter"" and concatenate them.",eonr
"Take the last letters of each words in ""Jazmine Carmen Kitty Nina"" and concatenate them.",enya
"Take the last letters of each words in ""Donovan Lonnie Jairo Mariah"" and concatenate them.",neoh
"Take the last letters of each words in ""Noelia Cassidy Ashok Francisco"" and concatenate them.",ayko
"Take the last letters of each words in ""Marco Antonio Suzette Roland Isabel"" and concatenate them.",oedl
"Take the last letters of each words in ""Hailey Avi Bree Samira"" and concatenate them.",yiea
"Take the last letters of each words in ""Liliana Quincy Bart Makayla"" and concatenate them.",ayta
"Take the last letters of each words in ""Emanuel Cheyenne Perez Yvette"" and concatenate them.",leze
"Take the last letters of each words in ""Lucky Mireya Jj Kc"" and concatenate them.",yajc
"Take the last letters of each words in ""Caleb Chase Eleazar Chanel"" and concatenate them.",berl
"Take the last letters of each words in ""Silvia Carolina Stan Chuck"" and concatenate them.",aank
"Take the last letters of each words in ""Breanna Trey Omar Patrice"" and concatenate them.",ayre
"Take the last letters of each words in ""Lilian Ian Bryce Aracely"" and concatenate them.",nney
"Take the last letters of each words in ""Walter Mikayla Larry Ryan"" and concatenate them.",rayn
"Take the last letters of each words in ""Jesse Roderick Travis Rita"" and concatenate them.",eksa
"Take the last letters of each words in ""Prince Rene Vishal Patrick"" and concatenate them.",eelk
"Take the last letters of each words in ""Jae Dennis Cris Bernadette"" and concatenate them.",esse
"Take the last letters of each words in ""Hank Janine Frankie Isa"" and concatenate them.",keea
"Take the last letters of each words in ""Max Mikey Cynthia Holly"" and concatenate them.",xyay
"Take the last letters of each words in ""Kristopher Deb Jake Tammy"" and concatenate them.",rbey
"Take the last letters of each words in ""Billie Paloma Tanner Raul"" and concatenate them.",earl
"Take the last letters of each words in ""Jacky Socorro Mark Wanda"" and concatenate them.",yoka
"Take the last letters of each words in ""Ari Jasmine Elliot Kendrick"" and concatenate them.",ietk
"Take the last letters of each words in ""Billy Kassandra Joy Abe"" and concatenate them.",yaye
"Take the last letters of each words in ""Ale Gaspar Sonny Simon"" and concatenate them.",eryn
"Take the last letters of each words in ""Skylar Chrissy Misty Kike"" and concatenate them.",ryye
"Take the last letters of each words in ""Denny Carlo Reinaldo Jessi"" and concatenate them.",yooi
"Take the last letters of each words in ""Craig Dillon Troy Griselda"" and concatenate them.",gnya
"Take the last letters of each words in ""Dave Ernesto Liam Marsha"" and concatenate them.",eoma
"Take the last letters of each words in ""Irving Hans Moses Nicole"" and concatenate them.",gsse
"Take the last letters of each words in ""Micaela Kevin Diamond Ty"" and concatenate them.",andy
"Take the last letters of each words in ""Russ Berta Mandy Lydia"" and concatenate them.",saya
"Take the last letters of each words in ""Loren Wes Dean Hayley"" and concatenate them.",nsny
"Take the last letters of each words in ""Maxwell Jose Beto Joe"" and concatenate them.",leoe
"Take the last letters of each words in ""Ron Carl Joann Young"" and concatenate them.",nlng
"Take the last letters of each words in ""Gabe Dora Aileen Modesto"" and concatenate them.",eano
"Take the last letters of each words in ""Quinton Sam Soledad Becca"" and concatenate them.",nmda
"Take the last letters of each words in ""Blake Hunter Lou Spencer"" and concatenate them.",erur
"Take the last letters of each words in ""Hayden Maya Zack Roberto"" and concatenate them.",nako
"Take the last letters of each words in ""Davis Jules Fabiola Cherie"" and concatenate them.",ssae
"Take the last letters of each words in ""Zach Trenton Cary Beth"" and concatenate them.",hnyh
"Take the last letters of each words in ""Jordan Yoni Lawrence Aura"" and concatenate them.",niea
"Take the last letters of each words in ""Mickey Dom Lilly Eloy"" and concatenate them.",ymyy
"Take the last letters of each words in ""Timmy Katherine Gabriel Nate"" and concatenate them.",yele
"Take the last letters of each words in ""Raymundo Jonathon Lexi Rony"" and concatenate them.",oniy
"Take the last letters of each words in ""Rosie Charlie Mick Jacquelyn"" and concatenate them.",eekn
"Take the last letters of each words in ""Ericka Aly Darius Reed"" and concatenate them.",aysd
"Take the last letters of each words in ""Dino Toby Abigail Manuela"" and concatenate them.",oyla
"Take the last letters of each words in ""Garry Arielle Elba Rodney"" and concatenate them.",yeay
"Take the last letters of each words in ""Barb Gage Kristian Asia"" and concatenate them.",bena
"Take the last letters of each words in ""Arthur Shan Norman Manny"" and concatenate them.",rnny
"Take the last letters of each words in ""Scotty Edgar Hanna Austin"" and concatenate them.",yran
"Take the last letters of each words in ""Orlando Colby Julius Ofelia"" and concatenate them.",oysa
"Take the last letters of each words in ""Memo Joey Phil Samuel"" and concatenate them.",oyll
"Take the last letters of each words in ""Angel Sheryl Dulce Kenny"" and concatenate them.",lley
"Take the last letters of each words in ""Ronnie Kiki Alan Remy"" and concatenate them.",einy
"Take the last letters of each words in ""Blaine Syed Priya Ruby"" and concatenate them.",eday
"Take the last letters of each words in ""Marty Justine Edgardo Osman"" and concatenate them.",yeon
"Take the last letters of each words in ""Tucker Daniel Hernandez Alison"" and concatenate them.",rlzn
"Take the last letters of each words in ""Cat Alisha Ramon Norberto"" and concatenate them.",tano
"Take the last letters of each words in ""Lucio Víctor Lester Allie"" and concatenate them.",orre
"Take the last letters of each words in ""Donnie Alli Terry Krystal"" and concatenate them.",eiyl
"Take the last letters of each words in ""Carlos Jackie Callie Caitlin"" and concatenate them.",seen
"Take the last letters of each words in ""Kelvin Brennan Carina Paty"" and concatenate them.",nnay
"Take the last letters of each words in ""Bob Aman Richie Sana"" and concatenate them.",bnea
"Take the last letters of each words in ""Guillermo Gerry Lizbeth Charly"" and concatenate them.",oyhy
"Take the last letters of each words in ""Reginald Franky Kira Gordon"" and concatenate them.",dyan
"Take the last letters of each words in ""Bret Lois Ismael Mirna"" and concatenate them.",tsla
"Take the last letters of each words in ""Martin Sage Tanisha Rick"" and concatenate them.",neak
"Take the last letters of each words in ""Mel Josh Alejandra Harley"" and concatenate them.",lhay
"Take the last letters of each words in ""Marcy Gonzalez Alice Arlene"" and concatenate them.",yzee
"Take the last letters of each words in ""Dana German Alvin Braden"" and concatenate them.",annn
"Take the last letters of each words in ""Itzel Anderson Kenia Edy"" and concatenate them.",lnay
"Take the last letters of each words in ""Lionel Fiona Bobby Janeth"" and concatenate them.",layh
"Take the last letters of each words in ""Dany Hilda Butch Mahesh"" and concatenate them.",yahh
"Take the last letters of each words in ""Deon Lane Everett Lindsay"" and concatenate them.",nety
"Take the last letters of each words in ""Efrain Rickey Jonathan Kelli"" and concatenate them.",nyni
"Take the last letters of each words in ""Kendall Matias Kaleb Randy"" and concatenate them.",lsby
"Take the last letters of each words in ""Deandre Moe Jack Vanessa"" and concatenate them.",eeka
"Take the last letters of each words in ""Tere Niko Keith Conner"" and concatenate them.",eohr
"Take the last letters of each words in ""Wilson Abbey Harold Nelly"" and concatenate them.",nydy
"Take the last letters of each words in ""Yamileth Dane Aron Dee"" and concatenate them.",hene
"Take the last letters of each words in ""Garrett Eva Joaquin Monique"" and concatenate them.",tane
"Take the last letters of each words in ""Yajaira Terrell Adam Lexie"" and concatenate them.",alme
"Take the last letters of each words in ""Virginia Juanita Zak Wayne"" and concatenate them.",aake
"Take the last letters of each words in ""Salvador Sol Tyler Kareem"" and concatenate them.",rlrm
"Take the last letters of each words in ""Belkis Wendell Lissette Patricia"" and concatenate them.",slea
"Take the last letters of each words in ""Dallas Uriel Brendan Julian"" and concatenate them.",slnn
"Take the last letters of each words in ""Frank Trevor Al Gabriella"" and concatenate them.",krla
"Take the last letters of each words in ""Jim Dwayne Ricky Artemio"" and concatenate them.",meyo
"Take the last letters of each words in ""Noah Aubrey Cesar Eliana"" and concatenate them.",hyra
"Take the last letters of each words in ""Adalberto Jamal Carter Robyn"" and concatenate them.",olrn
"Take the last letters of each words in ""Nicky Eden James Matt"" and concatenate them.",ynst
"Take the last letters of each words in ""Jaime Brad Levi Emmanuel"" and concatenate them.",edil
"Take the last letters of each words in ""Kristie Johnnie Marisa Derick"" and concatenate them.",eeak
"Take the last letters of each words in ""Wilfredo Abby Karthik Perry"" and concatenate them.",oyky
"Take the last letters of each words in ""Gus Brock Ava Jenna"" and concatenate them.",skaa
"Take the last letters of each words in ""Alfonso Collin Amado Dick"" and concatenate them.",onok
"Take the last letters of each words in ""Rashad Savannah Flavio Bert"" and concatenate them.",dhot
"Take the last letters of each words in ""Edwin Lovely Curt Damon"" and concatenate them.",nytn
"Take the last letters of each words in ""Missy Erin Lorna Lenny"" and concatenate them.",ynay
"Take the last letters of each words in ""Vijay Sherrie Doug Suzy"" and concatenate them.",yegy
"Take the last letters of each words in ""Marc Doris Ernie Gary"" and concatenate them.",csey
"Take the last letters of each words in ""June Robin Josie Bo"" and concatenate them.",eneo
"Take the last letters of each words in ""Celso Tracy Winston Anton"" and concatenate them.",oynn
"Take the last letters of each words in ""Lore Erasmo Louis David"" and concatenate them.",eosd
"Take the last letters of each words in ""Irvin Brittney Vince Lucas"" and concatenate them.",nyes
"Take the last letters of each words in ""Daryl Owen Myra Aaron"" and concatenate them.",lnan
"Take the last letters of each words in ""Nick Ada Stephany Suzie"" and concatenate them.",kaye
"Take the last letters of each words in ""Arnold Aidan Ally Ami"" and concatenate them.",dnyi
"Take the last letters of each words in ""Darwin Colin Cj Abhishek"" and concatenate them.",nnjk
"Take the last letters of each words in ""Lupita Cyndi Kay Derrick"" and concatenate them.",aiyk
"Take the last letters of each words in ""Jeremy Simone Alondra Wyatt"" and concatenate them.",yeat
"Take the last letters of each words in ""Deanna Terri Gabriela Jonah"" and concatenate them.",aiah
"Take the last letters of each words in ""Conor Randall Oleg Stephanie"" and concatenate them.",rlge
"Take the last letters of each words in ""Natalie Gilbert Brian Sanchez"" and concatenate them.",etnz
"Take the last letters of each words in ""Paris Jimmie Andrew Ramón"" and concatenate them.",sewn
"Take the last letters of each words in ""Roberta Mauro Clint Marcela"" and concatenate them.",aota
"Take the last letters of each words in ""Skyler Oliver Cristy Sierra"" and concatenate them.",rrya
"Take the last letters of each words in ""Dan Ruth Xavier Isidro"" and concatenate them.",nhro
"Take the last letters of each words in ""Corey Elvin Tino Melvin"" and concatenate them.",ynon
"Take the last letters of each words in ""Russell Mitchell Bee Faith"" and concatenate them.",lleh
"Take the last letters of each words in ""Gisela Gerald Mackenzie Ashley"" and concatenate them.",adey
"Take the last letters of each words in ""Jeannie Kenneth Porfirio Ezequiel"" and concatenate them.",ehol
"Take the last letters of each words in ""Mario Pierre Amit Nelson"" and concatenate them.",oetn
"Take the last letters of each words in ""Fred Nolan Johnathan Carson"" and concatenate them.",dnnn
"Take the last letters of each words in ""Julio Sidney Aiden Shay"" and concatenate them.",oyny
"Take the last letters of each words in ""Marcus Ramirez Junior Arely"" and concatenate them.",szry
"Take the last letters of each words in ""Todd Joni Gil Fran"" and concatenate them.",diln
"Take the last letters of each words in ""Colton Dexter Katy Brayden"" and concatenate them.",nryn
"Take the last letters of each words in ""Michel Roy Sergey Jessie"" and concatenate them.",lyye
"Take the last letters of each words in ""Anil Enrique Jimmy Jhonny"" and concatenate them.",leyy
"Take the last letters of each words in ""Ángel Carlton Sameer Martinez"" and concatenate them.",lnrz
"Take the last letters of each words in ""Chuy Shane Jaden Maynor"" and concatenate them.",yenr
"Take the last letters of each words in ""Emely Chelsea Vladimir Tyrone"" and concatenate them.",yare
"Take the last letters of each words in ""Bill Santos Roxy Randi"" and concatenate them.",lsyi
"Take the last letters of each words in ""Lara Greg Ethan Terrence"" and concatenate them.",agne
"Take the last letters of each words in ""Malcolm Hussein Franco Hugo"" and concatenate them.",mnoo
"Take the last letters of each words in ""Dustin Luiz Rolando Connor"" and concatenate them.",nzor
"Take the last letters of each words in ""Niki Graham Vernon Beau"" and concatenate them.",imnu
"Take the last letters of each words in ""Bernie Melina Kelsey Rusty"" and concatenate them.",eayy
"Take the last letters of each words in ""Sean Rebeca Marco Sami"" and concatenate them.",naoi
"Take the last letters of each words in ""Bruce Dena Kyla Robbie"" and concatenate them.",eaae
"Take the last letters of each words in ""Gee Joseluis Cory Stefanie"" and concatenate them.",esye
"Take the last letters of each words in ""Kristen Herbert Benny El"" and concatenate them.",ntyl
"Take the last letters of each words in ""Bj Rigo Nigel Christian"" and concatenate them.",joln
"Take the last letters of each words in ""Cruz Wilber Marilu Malik"" and concatenate them.",zruk
"Take the last letters of each words in ""Leon Payton Stefan Javi"" and concatenate them.",nnni
"Take the last letters of each words in ""Marcos Kerri Fabio Stephen"" and concatenate them.",sion
"Take the last letters of each words in ""Earl Rudy Harrison Nadine"" and concatenate them.",lyne
"Take the last letters of each words in ""Charles Emilio Vivek Steve"" and concatenate them.",soke
"Take the last letters of each words in ""Sal Scott Myrna Maximo"" and concatenate them.",ltao
"Take the last letters of each words in ""Miguel Angel Saul Brady Darryl"" and concatenate them.",llyl
"Take the last letters of each words in ""Antoine Javier Brett Stewart"" and concatenate them.",ertt
"Take the last letters of each words in ""Neil Dani Eddie Marcelino"" and concatenate them.",lieo
"Take the last letters of each words in ""Drew Jhon Jayden Cliff"" and concatenate them.",wnnf
"Take the last letters of each words in ""Antonio Ronald Ken Rachael"" and concatenate them.",odnl
"Take the last letters of each words in ""Debby Geoffrey Alana Silvestre"" and concatenate them.",yyae
"Take the last letters of each words in ""Eugenia Kellie Quentin Mike"" and concatenate them.",aene
"Take the last letters of each words in ""Sunny Trisha Paul Guy"" and concatenate them.",yaly
"Take the last letters of each words in ""Cristal Roxana Rajesh Danny"" and concatenate them.",lahy
"Take the last letters of each words in ""Brooklyn Dawn Tay Gene"" and concatenate them.",nnye
"Take the last letters of each words in ""Chandler Martina Leonardo Gregg"" and concatenate them.",raog
"Take the last letters of each words in ""Albert Felicia Margo Patty"" and concatenate them.",taoy
"Take the last letters of each words in ""Charmaine Vic Homero Jeanine"" and concatenate them.",ecoe
"Take the last letters of each words in ""Glen Ariana Reggie Polo"" and concatenate them.",naeo
"Take the last letters of each words in ""Tim Candace Cecil Misael"" and concatenate them.",mell
"Take the last letters of each words in ""Oscar George Sanjay Haydee"" and concatenate them.",reye
"Take the last letters of each words in ""Andre Oralia Carrie Bruno"" and concatenate them.",eaeo
"Take the last letters of each words in ""Leigh Mindy Rocky Lex"" and concatenate them.",hyyx
"Take the last letters of each words in ""Mya Fernando Bubba Tommy"" and concatenate them.",aoay
"Take the last letters of each words in ""Rich Parker Edward Milagros"" and concatenate them.",hrds
"Take the last letters of each words in ""Angelina Layla Jenny Zane"" and concatenate them.",aaye
"Take the last letters of each words in ""Lizzy Juany Aisha Brenda"" and concatenate them.",yyaa
"Take the last letters of each words in ""Elise Lupe Renee Noemi"" and concatenate them.",eeei
"Take the last letters of each words in ""Cinthia Lloyd Jacqueline Jc"" and concatenate them.",adec
"Take the last letters of each words in ""Sterling Jenifer Patsy Denise"" and concatenate them.",grye
"Take the last letters of each words in ""Beatriz Gillian Coco Vivian"" and concatenate them.",znon
"Take the last letters of each words in ""Christy Rey Michelle Dolly"" and concatenate them.",yyey
"Take the last letters of each words in ""Annie Toño Sharon Delores"" and concatenate them.",eons
"Take the last letters of each words in ""Jessy Libby Danielle Red"" and concatenate them.",yyed
"Take the last letters of each words in ""Penny Harry Jessica Horacio"" and concatenate them.",yyao
"Take the last letters of each words in ""Rena Devon Rosalinda Paulina"" and concatenate them.",anaa
